Uniprot,GO
A0AUS4,"GO:0003674,GO:0003824,GO:0004742,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005759,GO:0006082,GO:0006090,GO:0008150,GO:0008152,GO:0009987,GO:0016407,GO:0016417,GO:0016418,GO:0016740,GO:0016746,GO:0016747,GO:0019752,GO:0030523,GO:0031974,GO:0032787,GO:0032991,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043436,GO:0044237,GO:0044281,GO:0044422,GO:0044424,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0045254,GO:0070013,GO:0071704,GO:0140096,GO:1902494,GO:1990204"
A0AUT4,"GO:0000166,GO:0003674,GO:0005488,GO:0005515,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006457,GO:0008144,GO:0008150,GO:0009987,GO:0017076,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0044424,GO:0044464,GO:0051082,GO:0097159,GO:0097367,GO:1901265,GO:1901363"
A0AUU3,"GO:0003674,GO:0003824,GO:0004129,GO:0005215,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0005746,GO:0008324,GO:0009055,GO:0015002,GO:0015075,GO:0015077,GO:0015078,GO:0015318,GO:0016020,GO:0016021,GO:0016491,GO:0016675,GO:0016676,GO:0019866,GO:0022857,GO:0022890,GO:0031090,GO:0031224,GO:0031966,GO:0031967,GO:0031975,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044425,GO:0044429,GO:0044444,GO:0044446,GO:0044455,GO:0044464,GO:0070469"
A0JPH8,"GO:0005575,GO:0016020,GO:0016021,GO:0031224,GO:0044425"
A0PCL5,"NA"
A1A638,"GO:0000062,GO:0000166,GO:0003674,GO:0005488,GO:0017076,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0033218,GO:0036094,GO:0043167,GO:0043168,GO:0048037,GO:0050662,GO:0097159,GO:0097367,GO:1901265,GO:1901363,GO:1901567,GO:1901681"
A1DPK7,"GO:0003674,GO:0003779,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005694,GO:0005737,GO:0005856,GO:0005885,GO:0006996,GO:0007010,GO:0007015,GO:0008064,GO:0008092,GO:0008150,GO:0008154,GO:0009987,GO:0010638,GO:0015629,GO:0016043,GO:0022607,GO:0030029,GO:0030036,GO:0030041,GO:0030832,GO:0030833,GO:0030838,GO:0031334,GO:0032271,GO:0032273,GO:0032535,GO:0032956,GO:0032970,GO:0032991,GO:0033043,GO:0034314,GO:0034622,GO:0035861,GO:0042995,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043254,GO:0043933,GO:0044085,GO:0044087,GO:0044089,GO:0044422,GO:0044424,GO:0044427,GO:0044430,GO:0044446,GO:0044464,GO:0045010,GO:0048518,GO:0048522,GO:0050789,GO:0050794,GO:0051128,GO:0051130,GO:0051258,GO:0051493,GO:0051495,GO:0065003,GO:0065007,GO:0065008,GO:0071840,GO:0090066,GO:0090734,GO:0097435,GO:0110053,GO:1902903,GO:1902905"
A1L1H6,"GO:0003674,GO:0004857,GO:0004866,GO:0005575,GO:0005576,GO:0005615,GO:0030234,GO:0030414,GO:0044421,GO:0061134,GO:0061135,GO:0098772"
A1L2P7,"GO:0003674,GO:0003676,GO:0003723,GO:0003746,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0008135,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464,GO:0097159,GO:1901363"
A1L2V6,"GO:0003674,GO:0003824,GO:0004799,GO:0006139,GO:0006220,GO:0006221,GO:0006231,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0008168,GO:0009058,GO:0009117,GO:0009123,GO:0009124,GO:0009129,GO:0009130,GO:0009157,GO:0009162,GO:0009165,GO:0009176,GO:0009177,GO:0009219,GO:0009221,GO:0009262,GO:0009263,GO:0009265,GO:0009394,GO:0009987,GO:0016740,GO:0016741,GO:0018130,GO:0019438,GO:0019637,GO:0019692,GO:0034641,GO:0034654,GO:0042083,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0046073,GO:0046385,GO:0046483,GO:0055086,GO:0071704,GO:0072527,GO:0072528,GO:0090407,GO:1901135,GO:1901137,GO:1901293,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576"
