"Checked"	"Master"	"Accession"	"Description"	"Coverage"	"# Peptides"	"# PSMs"	"# Unique Peptides"	"# Protein Groups"	"# AAs"	"MW [kDa]"	"calc. pI"	"Ratios: (127) / (126)"	"Ratios: (128) / (126)"	"Ratios: (129) / (126)"	"Ratios: (130) / (126)"	"Ratios: (131) / (126)"	"Ratio Standard Errors [%]: (127) / (126)"	"Ratio Standard Errors [%]: (128) / (126)"	"Ratio Standard Errors [%]: (129) / (126)"	"Ratio Standard Errors [%]: (130) / (126)"	"Ratio Standard Errors [%]: (131) / (126)"	"emPAI"	"# Peptides A2"	"# Cumulative Decoys A2"	"FDR A2"	"Confidence A2"	"|Log Prob| A2"
"False"	"IsMasterProtein"	"Q7SZF6"	"Vitellogenin B1 OS=Xenopus laevis GN=vtgb1 PE=2 SV=1"	"40.7264722069345"	"76"	"87"	"76"	"1"	"1817"	"202.942"	"8.94"	"0.27"	"0.92"	"0.55"	"0.48"	"2.11"	"14.61"	"2.56"	"7.63"	"8.25"	"1.82"	""	"76"	"0"	"0"	"Green"	"360.523396894685"
"False"	"IsMasterProtein"	"P18709"	"Vitellogenin-A2 OS=Xenopus laevis PE=1 SV=1"	"31.4886552296624"	"61"	"74"	"61"	"1"	"1807"	"201.418"	"9.04"	"0.25"	"0.91"	"0.47"	"0.46"	"2.20"	"19.84"	"2.33"	"7.72"	"7.26"	"1.06"	""	"61"	"0"	"0"	"Green"	"314.273265422436"
"False"	"IsMasterProtein"	"Q7ZWR6"	"ATP synthase subunit beta OS=Xenopus laevis GN=atp5b PE=2 SV=1"	"70.6666666666667"	"25"	"29"	"25"	"1"	"525"	"56.338"	"5.4"	"0.74"	"0.86"	"0.92"	"0.79"	"0.82"	"6.04"	"3.88"	"5.98"	"5.10"	"5.29"	""	"25"	"0"	"0"	"Green"	"183.753723465726"
"False"	"IsMasterProtein"	"O93522"	"Nonmuscle myosin II heavy chain A OS=Xenopus laevis GN=myh9 PE=2 SV=1"	"26.1201629327902"	"52"	"56"	"52"	"1"	"1964"	"226.67"	"5.54"	"0.71"	"0.87"	"1.03"	"0.80"	"1.00"	"4.03"	"2.58"	"2.41"	"2.57"	"2.40"	""	"52"	"0"	"0"	"Green"	"173.205754354426"
"False"	"IsMasterProtein"	"Q7ZXP8"	"Eef2-prov protein OS=Xenopus laevis GN=eef2.1 PE=2 SV=1"	"41.1421911421911"	"41"	"53"	"37"	"1"	"858"	"95.366"	"6.93"	"0.70"	"0.88"	"1.03"	"0.80"	"0.88"	"2.36"	"2.33"	"2.86"	"3.00"	"3.30"	""	"41"	"0"	"0"	"Green"	"165.962936245876"
"False"	"IsMasterProtein"	"Q00387"	"Serine protease inhibitor A6 OS=Xenopus laevis GN=serpina6 PE=2 SV=2"	"62.3853211009174"	"35"	"49"	"35"	"1"	"436"	"49.491"	"8.06"	"0.71"	"0.89"	"1.07"	"0.76"	"0.92"	"4.09"	"2.30"	"5.23"	"3.92"	"6.14"	""	"35"	"0"	"0"	"Green"	"163.329541373684"
"False"	"IsMasterProtein"	"P23787"	"Transitional endoplasmic reticulum ATPase OS=Xenopus laevis GN=vcp PE=1 SV=3"	"44.2236024844721"	"39"	"45"	"38"	"1"	"805"	"89.156"	"5.3"	"0.70"	"0.82"	"1.02"	"0.80"	"0.90"	"2.33"	"2.94"	"2.80"	"3.15"	"4.21"	""	"39"	"0"	"0"	"Green"	"162.763774591476"
"False"	"IsMasterProtein"	"Q63ZG6"	"Alpha-1,4 glucan phosphorylase OS=Xenopus laevis GN=pygl PE=2 SV=1"	"46.4327485380117"	"45"	"48"	"45"	"1"	"855"	"97.825"	"7.61"	"0.75"	"0.80"	"1.05"	"0.76"	"0.89"	"2.68"	"3.95"	"3.66"	"3.45"	"4.39"	""	"45"	"0"	"0"	"Green"	"161.607578332501"
"False"	"IsMasterProtein"	"K2C1_HUMAN"	"(Common contaminant protein)"	"42.6127527216174"	"30"	"31"	"30"	"1"	"643"	"65.847"	"8.12"	"0.57"	"0.57"	"0.67"	"0.66"	"1.41"	"6.88"	"6.53"	"10.13"	"4.23"	"3.44"	""	"30"	"0"	"0"	"Green"	"160.354100132709"
"False"	"IsMasterProtein"	"Q6AZV1"	"Hsp90beta OS=Xenopus laevis GN=hsp90ab1 PE=2 SV=1"	"37.5346260387812"	"35"	"37"	"35"	"1"	"722"	"82.905"	"5.05"	"0.69"	"0.80"	"0.97"	"0.74"	"0.87"	"2.90"	"2.93"	"3.66"	"3.79"	"3.42"	""	"35"	"0"	"0"	"Green"	"158.861200695687"
"False"	"IsMasterProtein"	"Q7ZWU3"	"Protein disulfide-isomerase OS=Xenopus laevis GN=pdia3 PE=2 SV=1"	"56.7729083665339"	"37"	"39"	"37"	"1"	"502"	"56.086"	"6"	"0.71"	"0.78"	"1.02"	"0.77"	"0.82"	"5.12"	"3.80"	"3.48"	"3.39"	"3.06"	""	"37"	"0"	"0"	"Green"	"156.848451325613"
"False"	"IsMasterProtein"	"Q7SZ25"	"Eno1-prov protein OS=Xenopus laevis GN=eno1 PE=2 SV=1"	"66.5898617511521"	"33"	"39"	"32"	"1"	"434"	"47.418"	"6.57"	"0.73"	"0.78"	"0.89"	"0.79"	"0.86"	"3.29"	"2.31"	"4.60"	"3.31"	"5.07"	""	"33"	"0"	"0"	"Green"	"150.730229962765"
